55.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,FINEST;DB,INFO;NBA,INFO;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
23:15:06.0 (169154)|USER_INFO|[EXTERNAL]|005H4000000xqaK|test-nlokbqezoxjw@example.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
23:15:06.0 (209330)|EXECUTION_STARTED
23:15:06.0 (223210)|CODE_UNIT_STARTED|[EXTERNAL]|066H4000000rZkW|pwr.VFRemote: pwr.Forms_VF_Remoting invoke(publishLayout)
23:15:06.0 (239050)|SYSTEM_MODE_ENTER|true
23:15:06.0 (696234)|HEAP_ALLOCATE|[79]|Bytes:3
23:15:06.0 (749137)|HEAP_ALLOCATE|[84]|Bytes:152
23:15:06.0 (763436)|HEAP_ALLOCATE|[399]|Bytes:408
23:15:06.0 (776391)|HEAP_ALLOCATE|[412]|Bytes:408
23:15:06.0 (787300)|HEAP_ALLOCATE|[520]|Bytes:48
23:15:06.0 (810780)|HEAP_ALLOCATE|[139]|Bytes:6
23:15:06.0 (1245992)|VARIABLE_SCOPE_BEGIN|[4]|pwr.VF_Remoting.isThrowException|Boolean|false|true
23:15:06.0 (1301820)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:84
23:15:06.0 (1307522)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:120
23:15:06.0 (1331718)|METHOD_ENTRY|[2]|01pH4000002h7u2|pwr.Forms_VF_Remoting.Forms_VF_Remoting()
23:15:06.0 (1336365)|STATEMENT_EXECUTE|[2]
23:15:06.0 (1342230)|STATEMENT_EXECUTE|[2]
23:15:06.0 (1376414)|HEAP_ALLOCATE|[52]|Bytes:5
23:15:06.0 (1407840)|HEAP_ALLOCATE|[58]|Bytes:5
23:15:06.0 (1416017)|HEAP_ALLOCATE|[66]|Bytes:7
23:15:06.0 (1437863)|SYSTEM_MODE_ENTER|false
23:15:06.0 (1454934)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
23:15:06.0 (1461773)|SYSTEM_MODE_EXIT|false
23:15:06.0 (1470535)|METHOD_EXIT|[2]|pwr.Forms_VF_Remoting
23:15:06.0 (1474576)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
23:15:06.0 (1479334)|VARIABLE_SCOPE_BEGIN|[76]|layoutName|String|false|false
23:15:06.0 (2263670)|VARIABLE_ASSIGNMENT|[76]|layoutName|"newlayout"
23:15:06.0 (2286420)|SYSTEM_MODE_ENTER|false
23:15:06.0 (2290660)|HEAP_ALLOCATE|[77]|Bytes:5
23:15:06.0 (2294139)|STATEMENT_EXECUTE|[76]
23:15:06.0 (2295645)|STATEMENT_EXECUTE|[77]
23:15:06.0 (2296516)|STATEMENT_EXECUTE|[77]
23:15:06.0 (2325575)|HEAP_ALLOCATE|[78]|Bytes:98
23:15:06.0 (2332342)|SYSTEM_METHOD_ENTRY|[1]|Test.Test()
23:15:06.0 (2334911)|STATEMENT_EXECUTE|[1]
23:15:06.0 (2340128)|SYSTEM_METHOD_EXIT|[1]|Test
23:15:06.0 (2354752)|METHOD_ENTRY|[78]||System.Test.isRunningTest()
23:15:06.0 (2391080)|METHOD_EXIT|[78]||System.Test.isRunningTest()
23:15:06.0 (2399774)|STATEMENT_EXECUTE|[78]
23:15:06.0 (2439154)|SYSTEM_METHOD_ENTRY|[81]|String.isBlank(String)
23:15:06.0 (2458454)|SYSTEM_METHOD_EXIT|[81]|String.isBlank(String)
23:15:06.0 (2462167)|STATEMENT_EXECUTE|[81]
23:15:06.0 (2463343)|STATEMENT_EXECUTE|[84]
23:15:06.0 (2817922)|VARIABLE_SCOPE_BEGIN|[19]|pwr.Forms_Layout_Controller.longTextAreaLength|Integer|false|true
23:15:06.0 (2829019)|VARIABLE_SCOPE_BEGIN|[34]|pwr.Forms_Layout_Controller.lstResultData|List<ANY>|true|true
23:15:06.0 (2835953)|VARIABLE_SCOPE_BEGIN|[35]|pwr.Forms_Layout_Controller.mapData|Map<String,ANY>|true|true
23:15:06.0 (2842061)|VARIABLE_SCOPE_BEGIN|[37]|pwr.Forms_Layout_Controller.mapObj|Map<String,ANY>|true|true
23:15:06.0 (2847643)|VARIABLE_SCOPE_BEGIN|[38]|pwr.Forms_Layout_Controller.mapRecord|Map<String,ANY>|true|true
23:15:06.0 (2855248)|VARIABLE_SCOPE_BEGIN|[36]|pwr.Forms_Layout_Controller.mapRecordLayout|Map<String,Map<String,ANY>>|true|true
23:15:06.0 (2861167)|VARIABLE_SCOPE_BEGIN|[17]|pwr.Forms_Layout_Controller.prefix|String|false|true
23:15:06.0 (2866823)|VARIABLE_SCOPE_BEGIN|[18]|pwr.Forms_Layout_Controller.searchPrefix|String|false|true
23:15:06.0 (3183960)|HEAP_ALLOCATE|[84]|Bytes:36
23:15:06.0 (3195612)|HEAP_ALLOCATE|[84]|Bytes:62
23:15:06.0 (3199653)|HEAP_ALLOCATE|[84]|Bytes:27
23:15:06.0 (3240014)|METHOD_ENTRY|[7]|01pH4000002h7ty|pwr.Forms_Layout_Controller.Forms_Layout_Controller()
23:15:06.0 (3244045)|STATEMENT_EXECUTE|[7]
23:15:06.0 (3247199)|STATEMENT_EXECUTE|[7]
23:15:06.0 (3248134)|STATEMENT_EXECUTE|[17]
23:15:06.0 (3250576)|HEAP_ALLOCATE|[17]|Bytes:7
23:15:06.0 (3266384)|VARIABLE_ASSIGNMENT|[17]|pwr.Forms_Layout_Controller.prefix|"layout_"
23:15:06.0 (3278650)|STATEMENT_EXECUTE|[18]
23:15:06.0 (3280533)|HEAP_ALLOCATE|[18]|Bytes:8
23:15:06.0 (3287794)|VARIABLE_ASSIGNMENT|[18]|pwr.Forms_Layout_Controller.searchPrefix|"layout\\_"
23:15:06.0 (3291250)|STATEMENT_EXECUTE|[19]
23:15:06.0 (3296493)|HEAP_ALLOCATE|[19]|Bytes:4
23:15:06.0 (3304144)|VARIABLE_ASSIGNMENT|[19]|pwr.Forms_Layout_Controller.longTextAreaLength|131072
23:15:06.0 (3307321)|STATEMENT_EXECUTE|[21]
23:15:06.0 (3308378)|STATEMENT_EXECUTE|[27]
23:15:06.0 (3309340)|STATEMENT_EXECUTE|[34]
23:15:06.0 (3323748)|HEAP_ALLOCATE|[34]|Bytes:4
23:15:06.0 (3337073)|SYSTEM_CONSTRUCTOR_ENTRY|[34]|<init>()
23:15:06.0 (3356556)|SYSTEM_CONSTRUCTOR_EXIT|[34]|<init>()
23:15:06.0 (3381975)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
23:15:06.0 (3398364)|VARIABLE_ASSIGNMENT|[34]|pwr.Forms_Layout_Controller.lstResultData|[]|0x13632fa
23:15:06.0 (3403041)|STATEMENT_EXECUTE|[35]
23:15:06.0 (3413566)|HEAP_ALLOCATE|[35]|Bytes:4
23:15:06.0 (3432855)|VARIABLE_ASSIGNMENT|[35]|pwr.Forms_Layout_Controller.mapData|{}|0x56d5d4c2
23:15:06.0 (3437721)|STATEMENT_EXECUTE|[36]
23:15:06.0 (3445883)|HEAP_ALLOCATE|[36]|Bytes:4
23:15:06.0 (3456188)|VARIABLE_ASSIGNMENT|[36]|pwr.Forms_Layout_Controller.mapRecordLayout|{}|0x77a0e5f
23:15:06.0 (3460269)|STATEMENT_EXECUTE|[37]
23:15:06.0 (3463850)|HEAP_ALLOCATE|[37]|Bytes:4
23:15:06.0 (3470882)|VARIABLE_ASSIGNMENT|[37]|pwr.Forms_Layout_Controller.mapObj|{}|0x2982a1cd
23:15:06.0 (3474939)|STATEMENT_EXECUTE|[38]
23:15:06.0 (3478166)|HEAP_ALLOCATE|[38]|Bytes:4
23:15:06.0 (3484539)|VARIABLE_ASSIGNMENT|[38]|pwr.Forms_Layout_Controller.mapRecord|{}|0x1993f7e5
23:15:06.0 (3492695)|METHOD_EXIT|[7]|pwr.Forms_Layout_Controller
23:15:06.0 (3505390)|METHOD_ENTRY|[84]|01pH4000002h7ty|pwr.Forms_Layout_Controller.publishLayout(String)
