55.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,FINEST;DB,INFO;NBA,INFO;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
23:20:23.0 (199542)|USER_INFO|[EXTERNAL]|005H4000000xqaK|test-nlokbqezoxjw@example.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
23:20:23.0 (253116)|EXECUTION_STARTED
23:20:23.0 (263847)|CODE_UNIT_STARTED|[EXTERNAL]|066H4000000rZkW|pwr.VFRemote: pwr.Forms_VF_Remoting invoke(publishLayout)
23:20:23.0 (281958)|SYSTEM_MODE_ENTER|true
23:20:23.0 (762685)|VARIABLE_SCOPE_BEGIN|[4]|pwr.VF_Remoting.isThrowException|Boolean|false|true
23:20:23.0 (929306)|HEAP_ALLOCATE|[79]|Bytes:3
23:20:23.0 (984897)|HEAP_ALLOCATE|[84]|Bytes:152
23:20:23.0 (1000509)|HEAP_ALLOCATE|[399]|Bytes:408
23:20:23.0 (1014708)|HEAP_ALLOCATE|[412]|Bytes:408
23:20:23.0 (1025797)|HEAP_ALLOCATE|[520]|Bytes:48
23:20:23.0 (1049505)|HEAP_ALLOCATE|[139]|Bytes:6
23:20:23.0 (1064659)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:84
23:20:23.0 (1069415)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:120
23:20:23.0 (1078905)|METHOD_ENTRY|[2]|01pH4000002h7u2|pwr.Forms_VF_Remoting.Forms_VF_Remoting()
23:20:23.0 (1083842)|STATEMENT_EXECUTE|[2]
23:20:23.0 (1090639)|STATEMENT_EXECUTE|[2]
23:20:23.0 (1118976)|HEAP_ALLOCATE|[52]|Bytes:5
23:20:23.0 (1141014)|HEAP_ALLOCATE|[58]|Bytes:5
23:20:23.0 (1148104)|HEAP_ALLOCATE|[66]|Bytes:7
23:20:23.0 (1167841)|SYSTEM_MODE_ENTER|false
23:20:23.0 (1183973)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
23:20:23.0 (1191512)|SYSTEM_MODE_EXIT|false
23:20:23.0 (1200065)|METHOD_EXIT|[2]|pwr.Forms_VF_Remoting
23:20:23.0 (1203669)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
23:20:23.0 (1212579)|VARIABLE_SCOPE_BEGIN|[76]|layoutName|String|false|false
23:20:23.0 (1262933)|VARIABLE_ASSIGNMENT|[76]|layoutName|"hjgj"
23:20:23.0 (1278424)|SYSTEM_MODE_ENTER|false
23:20:23.0 (1282360)|HEAP_ALLOCATE|[77]|Bytes:5
23:20:23.0 (1286008)|STATEMENT_EXECUTE|[76]
23:20:23.0 (1287091)|STATEMENT_EXECUTE|[77]
23:20:23.0 (1287957)|STATEMENT_EXECUTE|[77]
23:20:23.0 (1319273)|HEAP_ALLOCATE|[78]|Bytes:98
